"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RP11-81H14.2",32.5198439787837,1.00232218645509,0.252899275392295,3.96332565564017,7.39128469320215e-05,0.00252099230382134
"RP13-36G14.3",19.7903367181298,1.05248391740804,0.127864209967064,8.23126281919818,1.85250019938221e-16,3.38043011589745e-14
"RP13-977J11.5",7.83475463257251,1.12544569262186,0.226669714220266,4.96513482841476,6.86533576374752e-07,4.01022787469696e-05
"RP3-391O22.3",6.55511247912994,1.11526679339904,0.272238890604311,4.09664758375776,4.19176291170534e-05,0.00156077782614593
"RP4-620F22.2",7.1826887284031,1.57537221168605,0.397840011774028,3.95981340504499,7.50083480869873e-05,0.00255190188869134
"RP4-725G10.3",134.418978142072,2.45840814507187,0.202042531864593,12.1677753806781,4.61488995144915e-34,2.36969232855808e-31
"RP5-1136G13.2",27.1415678958583,1.43569288869159,0.354395619499313,4.05110224195186,5.09769250789123e-05,0.00184822743143248
"RP5-901A4.1",4.7327494680454,1.14781060659209,0.389158799073442,2.9494658975332,0.00318323701885015,0.0490823138102034
"RSAD2",1602.37516161546,3.69899447726567,0.246941657856607,14.9792242806339,1.00381816720742e-50,1.47762034212932e-47
"RTP4",110.401530412794,1.49545572011821,0.242750855800258,6.16045498660861,7.2536232087888e-10,7.24705884389396e-08
"RUFY4",76.3509178246361,1.80217599200201,0.273416387209956,6.59132398899751,4.35921414898375e-11,5.06586570576638e-09
"SAMD4A",132.848169600715,1.6245467728751,0.193150821379578,8.41076813068558,4.07334258602045e-17,7.88942142976593e-15
"SAMD9",882.336231606042,1.45118654687543,0.153819441287798,9.43435065636627,3.9342346732338e-21,9.9848162741382e-19
"SAMD9L",1447.26603774889,2.06872117829744,0.151991944414308,13.6107290834993,3.45777044371798e-42,2.82768782952937e-39
"SCO2",865.025452438545,1.15111102746731,0.132807359822254,8.66752436768505,4.41617150240436e-18,9.02861729380446e-16
"SEPT4",97.5738704834154,1.14254570951404,0.302640717954787,3.77525442457062,0.000159844430990462,0.00475015482674212
"SERPING1",1565.61181506531,2.97337133334845,0.221302984640732,13.4357489040443,3.73272786646913e-41,2.84202176867718e-38
"SIGLEC1",2107.33579964696,3.81814076633761,0.26761416583058,14.2673342963271,3.49692021657307e-46,3.67728685355382e-43
"SLC12A8",18.0084101090017,1.03524839168101,0.240954126884332,4.29645428807272,1.73551736133884e-05,0.000714929539894806
"SLFN5",521.631450076945,1.01629658393377,0.192736713312512,5.27297869963102,1.34227147278918e-07,9.00831432194078e-06
"SMTNL1",12.5543089648694,1.46647771937024,0.38027663618177,3.85634451302255,0.000115095249346837,0.00364961805085527
"SP140",128.336944773745,1.20109200679172,0.216928553861253,5.53680917247958,3.08031849057938e-08,2.42905115257116e-06
"SPATS2L",269.528021331916,2.01536068698758,0.224098293281789,8.99319962447636,2.40135546621733e-19,5.24969591030482e-17
"STAP1",23.141806983331,4.37330860923807,0.818331429484631,5.34417773980928,9.08284107420486e-08,6.3065764439762e-06
"STAT1",7384.90552137551,1.56070833973401,0.133382753844073,11.7009755366012,1.25996625516432e-31,5.56401098280562e-29
"TARM1",22.6157201306634,1.3273804738811,0.41217463083369,3.22043225027279,0.00127997442747956,0.0243426661143399
"TCN2",895.056666275463,1.02879211021341,0.154544377417068,6.65693652145632,2.79593868603697e-11,3.3734604474151e-09
"TDRD7",647.326057789042,1.1108098103917,0.137929899110361,8.05343741680629,8.05005695338395e-16,1.41067664706919e-13
